w	 	 wynik 	 l. iteracji
0.500000	1.029867	9
0.600000	0.958252	8
0.700000	0.894337	7
0.800000	0.837061	7
0.900000	0.785553	6
1.000000	0.739085	6
1.100000	0.697041	6
1.200000	0.658892	6
1.300000	0.624185	6
1.400000	0.592524	5
1.500000	0.563569	5
1.600000	0.537022	4
1.700000	0.512624	5
1.800000	0.490147	5
1.900000	0.469391	5
2.000000	0.450184	5
2.100000	0.432369	5
2.200000	0.415813	5
2.300000	0.400394	5
2.400000	0.386008	5
2.500000	0.372559	5
2.600000	0.359965	5
2.700000	0.348150	5
2.800000	0.337048	5
2.900000	0.326600	5
3.000000	0.316751	5
3.100000	0.307454	5
3.200000	0.298666	5
3.300000	0.290347	5
3.400000	0.282462	5
3.500000	0.274980	5
3.600000	0.267871	5
3.700000	0.261109	5
3.800000	0.254670	5
3.900000	0.248532	5
4.000000	0.242675	5
4.100000	0.237080	5
4.200000	0.231731	5
4.300000	0.226612	5
4.400000	0.221710	5
4.500000	0.217010	5
4.600000	0.212501	5
4.700000	0.208172	5
4.800000	0.204013	5
4.900000	0.200013	5
5.000000	0.196164	5
5.100000	0.192458	5
5.200000	0.188887	5
5.300000	0.185444	5
5.400000	0.182122	5
5.500000	0.178916	5
5.600000	0.175819	5
5.700000	0.172825	5
5.800000	0.169930	5
5.900000	0.167130	5
6.000000	0.164419	5
6.100000	0.161793	5
6.200000	0.159249	5
6.300000	0.156783	5
6.400000	0.154391	5
6.500000	0.152071	5
6.600000	0.149818	5
6.700000	0.147630	5
6.800000	0.145505	5
6.900000	0.143439	5
7.000000	0.141431	5
7.100000	0.139477	5
7.200000	0.137577	5
7.300000	0.135726	5
7.400000	0.133925	5
7.500000	0.132170	5
7.600000	0.130461	5
7.700000	0.128794	5
7.800000	0.127170	5
7.900000	0.125585	5
8.000000	0.124040	5
8.100000	0.122531	5
8.200000	0.121059	5
8.300000	0.119621	5
8.400000	0.118217	5
8.500000	0.116845	5
8.600000	0.115504	5
8.700000	0.114194	5
8.800000	0.112913	5
8.900000	0.111660	5
9.000000	0.110434	5
9.100000	0.109235	5
9.200000	0.108062	5
9.300000	0.106913	5
9.400000	0.105788	5
9.500000	0.104687	4
9.600000	0.103608	4
9.700000	0.102551	4
9.800000	0.101515	4
9.900000	0.100500	4
10.000000	0.099505	4
10.100000	0.098530	4
10.200000	0.097573	4
10.300000	0.096634	4
10.400000	0.095714	4
10.500000	0.094810	4
10.600000	0.093924	4
10.700000	0.093054	4
10.800000	0.092199	4
10.900000	0.091360	4
11.000000	0.090537	4
11.100000	0.089728	4
11.200000	0.088933	4
11.300000	0.088152	4
11.400000	0.087385	4
11.500000	0.086630	4
11.600000	0.085889	4
11.700000	0.085160	4
11.800000	0.084444	4
11.900000	0.083739	4
12.000000	0.083046	4
12.100000	0.082364	4
12.200000	0.081694	4
12.300000	0.081034	4
12.400000	0.080385	4
12.500000	0.079746	4
12.600000	0.079117	4
12.700000	0.078498	4
12.800000	0.077888	4
12.900000	0.077288	4
13.000000	0.076697	4
13.100000	0.076115	4
13.200000	0.075542	4
13.300000	0.074977	4
13.400000	0.074420	4
13.500000	0.073872	4
13.600000	0.073332	4
13.700000	0.072799	4
13.800000	0.072275	4
13.900000	0.071757	4
14.000000	0.071247	4
14.100000	0.070745	4
14.200000	0.070249	4
14.300000	0.069760	4
14.400000	0.069278	4
14.500000	0.068802	4
14.600000	0.068333	4
14.700000	0.067871	4
14.800000	0.067414	4
14.900000	0.066964	4
15.000000	0.066519	4
